,t10y,t10y,t10y,t10y,t10y,ffr,ffr,ffr,ffr,ffr,gdp,gdp,gdp,gdp,gdp,cpi,cpi,cpi,cpi,cpi,cpi,unemp,unemp,unemp,unemp,unemp,recess
RSM US LLP,1.88,1.97,2.1,2.18,2.23,0.125,0.125,0.35,0.65,0.65,9.2,8.5,5.6,6.1,5,4.7,4.1,4.1,2.3,2.2,2.2,4.7,4.3,4,3.8,3.7,
Wells Fargo & Co.,2,2.15,2.25,,,0.125,0.125,0.125,,,9.2,8.8,8.1,5.8,3,5,4.9,2.9,2.6,,,4.7,4.3,4.1,,,
Econoclast,1.5,1.6,1.5,1.5,1.5,0.1,0.1,0.38,0.63,0.63,8.8,7,3,2,3,4,3.5,3,3,2.5,2.5,5.5,5.3,5.1,4.6,4.4,
Wrightson ICAP,1.65,1.75,1.85,2,2.1,0.125,0.125,0.125,0.625,0.875,8,6,6,4,4,4.8,4.6,2.7,2.5,2.5,2.4,5,4.5,4.2,4,3.8,
AC Cutts & Associates LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
NatWest Markets,2.2,2.5,2.8,,,0.13,0.13,0.13,0.13,0.63,10.5,11,9.5,6.5,2,3.8,3.7,2.6,2.4,,,4.7,3.9,3.6,,,
Oxford Economics,1.9,2.2,2.4,2.5,2.5,0.125,0.125,0.125,0.38,0.63,11.1,8.9,3.2,2.5,5,4.9,4.1,1.8,2.3,2.5,2.3,4.3,4,3.9,3.7,3.5,
Georgia State University,1.86,2.11,2.32,2.38,2.46,0.125,0.125,0.125,0.125,0.375,11.5,4.3,2.5,2.9,3,6.1,4.1,2.8,2.3,2.5,2.4,5,4.7,4.5,4.2,4,
National Association of Home Builders,1.91,2.16,2.33,2.44,2.54,0.125,0.125,0.125,0.375,0.375,10.4,7.1,6.8,2.6,1.7,6.4,1.5,2.1,1.7,1.9,1.8,4.9,4.4,4.5,4.8,5.2,
ABN AMRO,1.5,1.5,1.5,,,0.125,0.125,0.125,0.125,0.375,10,2.6,5.6,3.6,4,4.6,4.1,1.8,1.9,,,5.1,4.8,4.4,,,
Fannie Mae,1.55,1.66,1.77,,,0.125,0.125,0.125,,,8.1,7,6.8,3.5,3,4.8,5.1,3.8,3.1,,,4.4,3.9,3.8,,,
Comerica Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC Financial Services Group,1.83,1.86,1.91,1.93,1.99,0.125,0.125,0.125,0.375,0.875,8.6,7,5,3.5,3,4.6,3.9,2.4,2.6,2.4,2.6,4.9,4.4,4.2,4,3.8,
UCLA Anderson Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Lutheran University,1.98,2.22,2.32,2.37,,0.125,0.125,0.25,0.375,0.375,6.4,4.8,3.1,2.6,2,5,4.6,3.5,3.1,,,5.3,5.1,5,4.9,,
Mortgage Bankers Association ,2,2.3,2.5,2.8,3.1,0.125,0.125,0.125,0.375,0.625,10,8,6,4,3,5,3.5,2.3,2.1,2.1,2.1,4.5,4.3,4,4,4,
Robert Fry Economics LLC,1.8,2.1,2.5,2.9,3.3,0.125,0.125,0.375,1.125,2.125,9,8,7,4,2,4.6,4.6,3,2.9,3,3.2,4.3,3.8,3.7,3.6,3.6,
Societe Generale,1.6,1.9,2,2.5,2.5,0.125,0.125,0.125,0.125,0.625,9.5,5.5,4.8,3.1,2.5,4.9,4.5,2.5,2.5,2.5,2.5,4.9,4.5,4.4,4.3,4.2,
"Goldman, Sachs & Co.",1.9,2,2.1,2.2,2.3,0.125,0.125,0.125,0.125,0.375,8.5,9.5,6,4,3,4.8,4.5,2.4,2,2.2,2.3,4.2,3.5,3.5,3.3,3.2,
Scotiabank,2.1,2.2,2.3,2.4,2.4,0.125,0.125,0.125,0.375,0.875,7.8,9.9,6.6,2.9,1,4.7,3.9,3,2.2,2.1,2,4.9,4.1,3.7,3.5,3.5,
KPMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT Research,1.75,2,2.3,2,2,0.13,0.13,0.13,,,9.2,8.4,6.7,5.5,5,4.9,4.8,2.4,2,1.7,2,4.6,4.3,3.9,3.8,3.7,
BBVA,1.81,1.93,2.04,2.13,2.32,0.125,0.125,0.125,0.375,0.625,9.3,6.2,4,5.1,5,4.6,4.1,2.6,2.4,2.2,2.2,4.9,4.4,4,3.8,3.6,
National Retail Federation,1.85,2.05,2.1,,,0.125,0.125,0.125,,,9.2,8.3,5.6,3.8,3,4.5,2.5,2.1,1.8,,,4.8,4.5,4,,,
ING Financial Markets LLC,2,2.25,2.5,2.5,2.5,0.125,0.125,0.625,0.875,1.375,10.6,5.4,5.9,3.4,3,4.8,4.8,3.1,2.6,2.5,2.3,5.1,4.6,4.1,3.9,3.7,
Thru the Cycle,1.7,1.9,2,2.1,2,0.125,0.125,0.125,0.125,0.125,9.6,6.1,4.5,3.2,4,4.8,4.5,2.8,2.7,2.5,2.2,5.4,4.7,4.4,4.1,3.8,
The Conference Board,,,,,,0.125,,,,,9,7.8,4.2,,,,,,,,,4.9,,,,,
National Automobile Dealers Association,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabobank,,,,,,0.125,0.125,0.375,0.625,0.875,9.5,8.8,4.9,2.2,2.2,5.3,5.3,3.3,2,2,2,4.5,4.1,3.8,3.6,3.5,
Jefferies,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetLife Investment Management,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of America Securities-Merrill Lynch,1.9,,,,,0.125,0.125,0.125,,,10,9,5,5,5,4.7,4.6,2.6,2.2,,,4.2,3.9,3.5,,,
Daiwa Capital Markets America,1.6,1.8,2.15,2.8,3.4,0.125,0.125,0.375,0.875,1.375,7.8,8,6.8,4.5,4,4.6,5,3.3,3.1,2.9,2.7,4.9,4.4,4.1,3.9,3.8,
National Association of Manufacturers,2.01,2.29,2.39,2.68,2.91,0.125,0.375,0.625,1.125,1.375,10,5,4.5,4,3,4.3,3.8,2.5,2.3,2.3,2.3,5,4.4,4.2,4,3.8,
Naroff Economics LLC,1.78,2.05,2.3,2.4,2.5,0.125,0.125,0.375,0.625,0.875,6.8,5.3,4.6,3.3,3,4.2,4.3,3.2,2.5,2.4,2.3,5.5,5,4.7,4.4,4.1,
MacroEcon Global Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreLogic,1.6,1.8,2,2.2,2.4,0.125,0.125,0.375,0.375,0.625,8,7.6,8.2,3.8,3,4.6,4,2.2,2.1,2.1,2.1,4.8,4.2,3.7,3.6,3.5,
TD Securities,2,2.2,2.4,,,0.125,0.125,0.125,0.125,0.375,8,7,4,3,3,5,3.9,1.8,2.3,,,4.6,4.4,4.2,,,
"Stifel, Nicoulas and Company, Inc.",1.48,1.45,1.3,,,0.125,0.125,0.125,,,8.2,5,4.5,3.7,3,,,,,,,5.4,5.2,4.9,,,
BMO Capital Markets,1.75,1.85,2,2.05,2.1,0.125,0.125,0.125,0.375,0.625,9.5,8.3,4.9,3.3,3,4.8,4.8,3.1,2.7,2.5,2.5,4.9,4.3,3.9,3.5,3.5,
IHS Markit,1.7,1.89,2.07,2.16,2.25,0.125,0.125,0.125,0.125,0.375,8,7.5,8.2,3.8,3,4.8,3.9,1.8,2,2.1,2.1,4.8,4.2,3.7,3.5,3.5,
Ameriprise Financial,1.6,2.1,2.2,2.4,2.6,0.125,0.125,0.375,0.625,0.625,8.5,4.2,5.5,4.5,4,4.9,4.8,2.7,2.4,2.2,2,5.1,4.6,4.2,3.8,3.5,
Point Loma Nazarene University,1.75,1.85,2,2.1,2.25,0.125,0.125,0.375,0.625,0.875,8.4,8.5,7.8,4.2,2,4.8,4.5,2.4,2.4,2.3,2.3,5.2,4.8,4.3,3.8,3.5,
"St. Mary’s University College of Arts, Humanities and Social Sciences",1.48,1.7,1.4,1.38,1.34,0.125,0.125,0.125,0.25,0.75,10.4,8.7,4.5,4.8,3,3,4.2,4.5,4.4,4.4,4.2,5.8,5.7,5.5,5.2,5.4,
North Carolina A&T State University Willie A. Deese College of Business and Economics,1.26,1.5,1.64,1.73,2,0.5,0.5,0.825,0.825,0.825,10.7,4.7,4.1,3.1,3,2.8,2.4,1.8,1.6,1.8,1.6,3.9,3.6,3.4,3.2,3.1,
"Deutsche Bank Securities, Inc.",2.25,,,,,0.125,0.125,0.125,0.125,0.375,10.8,8,5.9,3.9,3,4.7,4.5,2.5,2.3,2.5,2.4,4.3,3.9,3.7,3.5,3.4,
Pantheon Macroeconomics,2,2.5,2.5,2.75,2.75,0.125,0.125,0.625,0.875,1.125,9.5,8,6,5,3,4.9,4.1,2,2.2,2.5,2.5,4.5,3.8,3.5,3.5,3.5,
Decision Economics Inc.,2.07,2.35,2.7,3.03,3.25,0.13,0.25,0.63,0.87,1.13,9.8,6.8,6.1,4.1,5,3.7,3.2,3,2.8,3.2,3.5,5.5,5.2,5,4.8,4.5,
EconForecaster LLC,1.83,1.78,1.82,1.9,2.05,0.625,0.875,1.125,1.375,1.625,10,5.2,4.2,3.8,4,4.8,3.6,2.5,1.9,1.8,1.7,5.2,4.6,4.2,3.7,3.2,
University of Central Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Economics,1.55,1.6,1.65,1.7,1.75,0.125,0.125,0.375,0.875,1.125,11,8.5,8,7,3,4.5,4.5,4,4,3.5,3.5,4.7,4.3,4.2,4.1,4,
Amherst Pierpont Securities,2.1,2.5,2.9,3.2,3.5,0.125,0.375,0.875,1.375,1.875,10.9,7.4,6.6,4.2,4,5,4.7,2.9,2.8,2.8,2.9,4.2,3.7,3.4,3.3,3.2,
Economic Analysis Associates Inc.,1.8,2,2.1,2.4,2.3,0.13,0.35,0.65,1.35,1.35,6.3,4.9,3.5,2.6,3,4.3,3.7,2.2,3,3.5,2.2,5.5,5.1,4.8,4.4,4,
JPMorgan,1.95,2.1,,,,0.125,0.125,0.125,,,9,8.3,3,3.5,3,4.7,4.7,2.9,2.3,,,4.7,4.4,4.1,,,
Credit Suisse,,2,,,,0.125,0.125,0.125,0.125,0.675,8.1,9.8,5.8,3.8,2.9,4.6,3.9,2.1,2.4,,,4.8,4.4,4,,,
American Chemistry Council,1.85,2,2.1,2.2,2.25,0.125,0.125,0.125,0.125,0.375,9.5,8,6.3,4.5,3,5,5,4,3.5,3,2.8,5,4.5,4,3.8,3.5,
Grant Thornton ,1.7,2,2.3,2.4,2.5,0.125,0.125,0.125,0.375,0.625,8.3,7.9,8.4,4.2,4,5,4,2.2,2.2,2.3,2.2,4.7,4,3.5,3.4,3.3,
Northern Trust,1.75,1.95,2.15,2.25,2.25,0.125,0.125,0.125,0.375,0.625,10.5,7.9,5.3,3.7,3,4.6,4.1,2.4,2.2,2.1,2,4.7,4.3,4,3.8,3.7,
UC Riverside School of Business Center for Economic Forecasting and Development,1.98,2.51,3.25,3.43,3.47,0.125,0.8,1.5,2,2.3,7.5,7.1,5.8,6,6,4.2,4,3.9,3.7,3.6,3.6,4.7,3.9,3.7,3.8,3.8,
Wilmington Trust Investment Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Agricole CIB,1.65,1.45,1.35,,,0.125,0.125,0.125,,,10.2,6,4,3.5,2,5,4.6,2.4,2.2,,,4.9,4.4,4,,,
Eaton Corp.,1.65,1.75,1.9,2,2,0.125,0.125,0.125,0.625,1.125,8.5,7,6,2.9,2,4.7,4.3,3,3,2.2,2,5.2,4.8,4.5,4.3,4.1,
HSBC Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Trust Advisors LP,1.5,1.7,1.9,,,0.125,0.125,0.125,,,9,5.5,2.5,3,3,4.4,4.2,3.2,3.6,,,4.9,4.1,3.6,,,
Wrightside Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of Realtors,1.7,1.9,2.1,2.2,2.2,0.125,0.125,0.125,0.375,0.625,6.8,4.2,3,3,3,5.3,4.7,3.8,3.5,3.5,3.5,5.7,5.5,5.5,5.4,5.3,
Morgan Stanley,1.8,1.9,2,,,0.125,0.125,0.125,0.125,0.375,10.8,8.4,6.7,3.2,3,4.9,4,2,2.4,,,4.8,4.4,3.8,,,
