,t10y,t10y,t10y,t10y,t10y,t10y,t10y,ffr,ffr,ffr,ffr,ffr,ffr,ffr,gdp,gdp,gdp,gdp,gdp,cpi,cpi,cpi,cpi,cpi,cpi,cpi,unemp,unemp,unemp,unemp,unemp,unemp,unemp,recess
Wrightson ICAP,1.85,1.95,2.05,2.1,2.15,2.2,2.25,0.125,0.125,0.125,0.625,0.875,1.375,1.625,2.2,4,4,4,4,5.9,3.7,2.8,2.5,2.5,2.5,2.5,4.6,4.3,4,3.8,3.6,3.5,3.4,
AC Cutts & Associates LLC,1.62,1.8,1.9,1.97,2.15,2.32,2.4,0.125,0.125,0.125,0.125,0.375,0.875,1.125,1.8,2.1,3.4,5.7,4.6,5.1,4.5,3.6,2,1.4,2.1,2,4.7,4.6,4.3,4.2,4.2,4.2,4.2,
NatWest Markets,1.65,1.9,2.15,,,,,0.125,0.125,0.125,0.125,0.625,1.125,1.875,2.1,4.3,3.4,2.8,2,5.6,3,2.2,,,,,4.8,4.5,4.2,,,,,
Oxford Economics,1.81,2.19,2.56,2.63,2.66,2.69,2.72,0.125,0.125,0.38,0.63,0.88,1.13,1.38,1.4,3.9,5,6.2,3.7,5.2,2.7,2.4,2.4,2.3,2.2,2.1,4.4,4,3.9,3.7,3.6,3.5,3.5,
Georgia State University,1.79,2.22,2.41,2.78,2.98,3.11,3.35,0.125,0.125,0.125,0.375,0.625,1.125,1.375,2.6,2.4,2,4.4,4.1,5.5,3.5,2.7,2.5,2.4,2.3,2.2,5.1,5.3,4.9,4.6,4.4,4.3,4.6,
National Association of Home Builders,1.47,1.86,2.13,2.29,2.39,,,0.125,0.125,0.125,0.375,0.625,,,4.1,7.5,5.2,4.3,3.2,4.8,2.5,1.5,1.8,2.1,,,4.9,3.9,3.3,3.2,3.1,,,
ABN AMRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannie Mae,1.57,1.67,1.78,,,,,0.125,0.125,0.375,,,,,2.2,4.3,4.3,4,3.3,5.7,4.1,2.8,,,,,4.6,3.9,3.6,,,,,
Comerica Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC Financial Services Group,1.62,1.71,1.77,1.83,2.01,2.15,2.2,0.125,0.125,0.125,0.375,0.875,1.125,1.125,4,6.3,4,3.5,3,5.3,2.7,2.5,2.8,2.5,2.2,2.2,4.6,4.4,4.1,4,3.9,3.7,3.6,
UCLA Anderson Forecast,1.6,1.8,1.95,2.05,2.15,2.3,2.4,0.125,0.125,0.375,0.625,0.875,0.875,1.125,3.3,4.3,4.2,4.2,3.6,5.3,3.5,2.3,2.3,2.3,2.3,2.2,4.8,4.5,4,3.7,3.6,3.5,3.4,
California Lutheran University,1.82,2.01,2.32,2.42,,,,0.125,0.375,0.625,0.875,1.125,1.125,1.375,3,5.2,2.9,2.6,2,5,4.3,3.7,,,,,4.7,4.4,4.3,4.2,,,,
Mortgage Bankers Association ,1.75,2,2.4,2.5,2.5,2.5,2.5,0.125,0.125,0.375,0.625,1.125,1.625,2.125,3.1,4.9,6.1,3.8,3.4,4.8,3,2.8,2.5,2.5,2.3,2.2,4.5,3.9,3.8,3.7,3.5,3.7,3.9,
Robert Fry Economics LLC,1.7,2.1,2.5,2.9,3.3,3.5,3.3,0.125,0.125,0.375,0.875,1.875,2.625,2.375,3,6,5.5,4.5,3.5,6.2,4.3,3.3,3,3.3,3.3,2.7,4.5,4,3.7,3.6,3.6,3.6,4,
Societe Generale,1.7,2,2.2,2.2,2.2,2.2,2.2,0.125,0.125,0.125,0.625,0.875,1.375,1.875,2.2,5.6,4.5,3.3,3,5.5,3.1,2.5,2.4,2.3,2.3,2.3,4.5,4.2,4.1,3.9,3.8,3.7,3.7,
"Goldman, Sachs & Co.",1.6,1.6,1.8,2.1,2.3,2.4,2.45,0.125,0.125,0.125,0.125,0.375,0.625,0.875,3.3,4.5,4.5,4,3,5.4,3.6,2.3,2.2,2.4,2.4,2.4,4.3,3.7,3.5,3.4,3.3,3.2,3.2,
Scotiabank,1.8,2.2,2.3,2.4,2.5,2.3,2.1,0.125,0.125,0.125,0.625,1.125,1.625,2.125,6,5,4.6,3.2,1.9,4.8,3.8,3,2.7,2.6,2.4,2.3,4.6,3.5,2.9,2.8,2.9,3.2,3.5,
KPMG,1.68,2.07,2.26,2.37,2.45,2.58,2.71,0.125,0.125,0.375,0.875,1.375,1.875,2.375,1.5,4.3,5.2,4.3,3.2,5.6,3.5,1.8,1.9,2.2,2.2,2.3,4.6,3.9,3.5,3.5,3.5,3.4,3.6,
ACT Research,1.75,2,2.3,2,2,,,0.13,0.13,0.13,0.37,0.67,1,1.5,2.6,4.1,5.1,6.4,3.3,6.2,3.3,2,1.7,1.8,,,4.7,4.4,3.9,3.8,3.7,,,
National Retail Federation,1.85,2.15,2.25,2.25,2.25,,,0.125,0.125,0.375,0.625,0.875,,,3.7,5.5,3.9,3.5,3,5.3,3.5,2.4,2.3,2.4,,,4.6,4.5,4.1,3.9,3.8,,,
ING Financial Markets LLC,1.75,2.25,2.25,2.25,2.25,2.25,2,0.125,0.125,0.625,1.125,1.375,1.625,1.625,3.9,6.5,5,4.7,3.5,5.5,3.2,2.7,2.6,2.4,2.2,2.2,4.9,4.3,3.9,3.8,3.9,4,4,
Thru the Cycle,1.7,1.85,2.05,2.1,2.05,1.9,2,0.125,0.375,0.625,0.875,0.875,0.875,0.875,3.8,5.1,4,3,3.7,5.6,3.8,3.3,2.8,2.2,1.9,1.8,4.5,4.4,3.9,3.7,3.8,3.8,3.8,
The Conference Board,,,,,,,,,,,,,,,3.5,5.2,3.4,2.9,,,,,,,,,,,,,,,,
National Automobile Dealers Association,1.8,2,2.15,2.3,,,,0.125,0.125,0.125,0.375,0.375,,,6.5,5.2,4.6,3.3,2.6,4.2,3,2.5,,,,,4.6,4.2,4,,,,,
Rabobank,,,,,,,,0.125,0.125,0.375,0.625,1.125,1.375,1.875,1.5,1.5,2.1,2.1,2.1,6.1,4.3,2.2,2,2,2,2,5,4.7,4.4,4.2,4,3.5,3.5,
Jefferies,2,2.3,2.4,2.45,2.5,2.5,2.5,0.125,0.125,0.125,0.625,1.125,1.625,2.125,4,8,7.1,5.7,4.9,5.7,3.5,2.1,2.3,2.5,2.5,2.6,4.2,3.4,3.1,3.1,3.1,,,
MetLife Investment Management,1.75,,2.25,,2,,,0.125,,0.375,,1.125,,,,,,,,4.3,,2.4,,2.4,,,5,,4.5,,4,,,
Bank of America Securities-Merrill Lynch,1.55,1.75,1.9,,,,,0.125,0.125,0.125,,,,,4.5,6,6,5,4,5.5,3.4,2.2,,,,,4.5,3.7,3.5,,,,,
Daiwa Capital Markets America,1.6,1.65,1.85,2.4,2.9,3.3,3.6,0.125,0.125,0.375,0.875,1.375,1.875,2.375,2.5,3.5,3.7,3.6,3.4,5.8,4.6,3.4,3,2.8,2.7,2.5,4.7,4.3,4.1,3.9,3.8,3.7,3.6,
National Association of Manufacturers,1.7,2.2,2.35,2.68,3.05,3.32,3.52,0.125,0.125,0.375,0.625,1.125,1.625,2.125,3.5,4.5,4,3.5,2.5,5.6,3.9,2.5,2.4,2.4,2.3,2.3,4.7,4.2,3.8,3.6,3.5,3.8,4,
Naroff Economics LLC,1.68,1.86,2.05,2.22,2.4,2.5,2.6,0.125,0.125,0.375,0.625,0.875,1.375,1.875,4.6,4.2,3.3,2.5,2.1,4.9,3.3,2.5,2.1,1.9,2.4,2.2,4.9,4.6,4.4,4.2,4.1,4,4.2,
MacroEcon Global Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreLogic,1.57,1.81,2.1,2.29,2.42,2.59,2.75,0.125,0.125,0.375,0.375,0.625,0.875,1.125,1.4,5.1,4.9,4.4,3.8,5,3.5,2,2.2,2.2,2.2,2.2,4.6,4,3.7,3.6,3.6,3.6,3.6,
TD Securities,1.75,2.05,2.25,,,,,0.125,0.125,0.125,0.125,0.375,,,2.5,4,3,3,2,,,,,,,,4.7,4.5,4.3,,,,,
"Stifel, Nicoulas and Company, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMO Capital Markets,1.6,1.8,2,2.15,2.25,2.4,2.5,0.125,0.125,0.125,0.625,1.125,1.625,2,4.5,4,3,2.8,2.6,5.9,3.6,2.8,2.7,2.4,2.3,2.2,4.6,4,3.6,3.4,3.4,3.5,3.5,
IHS Markit,1.57,1.82,2.1,2.29,2.43,2.59,2.72,0.125,0.125,0.125,0.375,0.625,1.125,1.375,1.4,5.1,4.9,4.4,3.8,5.2,2.5,2,2.1,2.1,2.1,2.2,4.5,4.1,3.7,3.6,3.6,3.6,3.6,
Ameriprise Financial,1.8,2.1,2.1,2.2,2.4,2.5,2.7,0.125,0.125,0.375,0.625,0.625,0.625,0.625,3,5,4,4.5,4,6.1,3.2,2.5,2.4,2.2,2.2,2,4.4,3.9,3.5,3.4,3.5,3.2,3.2,
Point Loma Nazarene University,1.65,2,2.25,2.5,2.65,2.75,2.8,0.125,0.125,0.375,0.625,1.125,1.625,1.875,3.1,5.2,4.3,3.7,3.6,5.3,3.3,3,2.6,2.4,2.2,2.2,4.5,4,3.8,3.6,3.4,3.4,3.4,
"St. Mary’s University College of Arts, Humanities and Social Sciences",1.5,1.3,1.3,1.25,1.3,1.5,1.5,0.125,0.25,0.3,0.4,0.5,0.6,0.75,4.3,4.4,4.5,3.5,3.2,3.4,3,2.4,2.5,2.5,2.5,2.5,4.6,4.9,4.7,4.3,3.5,3,3,
North Carolina A&T State University Willie A. Deese College of Business and Economics,1.8,2.03,2.3,2.42,2.41,2.54,2.5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,3.8,3.3,2.7,2.5,2.4,4.8,2.4,1.8,1.8,1.5,1.5,1.6,4.5,4.2,4,3.8,3.7,3.6,3.5,
"Deutsche Bank Securities, Inc.",1.8,2.4,,,,,,0.125,0.125,0.375,0.625,1.125,1.625,1.875,2.3,5.8,6.5,3,2.8,5,3,2.4,2.5,2.4,2.4,2.4,4.7,4.4,3.9,3.6,3.5,3.6,3.7,
Pantheon Macroeconomics,2,2.5,2.75,3,3,3,3,0.125,0.125,0.625,1.125,1.375,1.625,1.875,2.5,8,6,3.5,3,5.3,2.7,2.5,2.5,2.5,2.5,2.5,4.5,3.8,3.5,3.5,3.5,3.5,3.5,
Decision Economics Inc.,1.72,1.95,2.52,2.98,3.3,3.07,3.02,0.125,0.125,0.5,0.87,1.13,1.63,2,4.1,5.2,4.1,4.5,4.2,5.4,4,3.5,3.6,3.7,3.3,3.1,4.7,4.2,3.9,3.5,3.2,3,3.2,
EconForecaster LLC,1.41,1.55,1.77,1.9,2.23,2.44,2.65,0.125,0.125,0.375,0.625,0.875,1.125,1.375,2.7,4.7,3.8,3.6,3.4,5.7,3.5,2.4,2.2,2,1.9,1.8,4.5,4.1,3.8,3.5,3.3,3.2,3,
University of Central Florida,1.7,1.94,2.13,2.28,2.31,2.46,2.64,0.125,0.125,0.125,0.125,0.375,0.625,0.625,5,5.7,4.5,2.6,2.3,4.5,1.8,1.6,2.1,2,2.1,2.1,4.7,4.1,3.8,3.7,3.7,3.6,3.6,
SS Economics,1.6,1.8,2.1,2.3,2.5,2.7,3,0.125,0.125,0.375,0.625,0.875,1.125,1.375,4.5,4.3,4.1,3.7,3.9,5.3,5.4,5.1,4.8,4.5,4,3.8,4.7,4.5,4.4,4.3,4.2,4.2,4,
Amherst Pierpont Securities,1.9,2.5,2.9,3.2,3.5,3.6,3.7,0.125,0.375,0.875,1.375,1.875,2.125,2.625,3.4,8.8,4.9,4.4,3.6,5.6,3.4,2.8,2.9,2.9,2.8,2.7,4.3,3.7,3.5,3.3,3.1,3.1,3.2,
Economic Analysis Associates Inc.,1.5,1.8,2.1,2.4,2.3,2.5,2.8,0.13,0.35,0.65,1.35,1.35,1.65,2,2,3.4,2.6,2.8,2.7,3.7,1.8,3,3.4,3.2,2.8,2.6,4.5,4.1,3.9,3.5,3.1,3.6,4.2,
JPMorgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Suisse,1.6,,,,,,,0.125,0.125,0.125,0.125,0.625,,,4.4,6.4,3.7,3.4,3,5.7,3.2,2.4,,,,,4.8,4.4,4,,,,,
Catawba College,1.75,2.05,2.25,2.4,2.5,2.65,2.75,0.125,0.125,0.375,0.375,0.875,1.125,1.125,4.5,5.5,4.3,4,3.5,5.8,4.8,3.5,3.3,3,2.8,2.3,4.7,4.3,4,3.8,3.5,3.5,3.8,
Grant Thorton,1.7,2.2,2.4,2.5,2.6,2.7,2.5,0.125,0.125,0.375,0.825,1.675,1.675,1.325,1.4,4.8,4.5,3.5,3.3,5.3,3.6,2.5,2.6,2.3,2.1,2.2,4.6,4,3.8,3.7,3.6,3.7,4,
Northern Trust,1.6,1.95,2.15,2.25,2.25,2.5,2.5,0.125,0.125,0.125,0.375,0.625,0.875,1.125,3,5.4,4.1,3.7,2.9,5.4,3.5,2.3,2.1,1.9,2,2,4.6,4.2,4,3.8,3.8,3.7,3.6,
UC Riverside School of Business Center for Economic Forecasting and Development,1.99,2.5,3.25,3.5,3.5,3.5,3.5,0.125,0.125,2,3,3,3,3,1.5,4.5,4.6,5.8,3.7,4.5,4.6,3.8,3.8,3.5,3.3,3,4.5,3.8,3.7,3.5,3.8,4,4,
Wilmington Trust Investment Advisors,1.8,2,2.2,,,,,0.125,0.125,1.625,,,,,0.5,4,,,,5,3,,,,,,,,,,,,,
Credit Agricole CIB,1.5,1.4,1.25,,,,,0.125,0.125,0.125,,,,,4.6,5.6,3.5,3.3,2.5,5.7,3.5,2.7,,,,,4.8,4.4,4,,,,,
Eaton Corp.,1.6,1.7,1.8,1.9,2,2,2,0.125,0.125,0.625,1.125,1.375,1.625,1.625,2.2,4.6,4.2,4,3.4,5.3,3.5,2.6,2.4,2.2,2.1,2.1,4.5,4.1,3.9,3.8,3.7,3.6,3.5,
First Trust Advisors LP,1.7,1.9,2.1,2.3,2.5,,,0.125,0.125,0.125,0.375,0.625,,,1.5,3,3.5,4,4,5.2,3.7,3.5,3.8,4,,,4.5,3.7,3.5,3.5,3.5,,,
National Association of Realtors,1.7,2,2.2,2.4,2.6,2.7,2.7,0.125,0.375,0.625,1.125,1.625,1.875,1.875,4.3,3.3,3,2.7,2.6,5.5,4.7,4.1,3.8,3.3,3,2.7,4.8,4.7,4.6,4.5,4.5,4.5,4.6,
Morgan Stanley,1.8,1.9,2,,,,,0.125,0.125,0.125,0.375,0.625,,,2.6,6.7,3.2,3.1,2.8,5.1,3.1,2.2,,,,,4.5,4.1,3.3,,,,,
