,t10y,t10y,t10y,t10y,t10y,t10y,ffr,ffr,ffr,ffr,ffr,ffr,gdp,gdp,gdp,gdp,gdp,cpi,cpi,cpi,cpi,cpi,cpi,unemp,unemp,unemp,unemp,unemp,unemp,recess
AC Cutts & Associates LLC,1.80,1.90,1.97,2.15,2.35,2.50,0.13,0.38,0.38,0.88,0.88,1.38,0.80,2.30,3.80,4.60,3.60,4.50,3.60,2.00,1.40,2.10,2.00,3.80,3.70,3.70,3.60,3.60,3.60,
Georgia State University,2.03,2.55,2.88,3.01,3.22,3.07,0.13,0.38,0.63,1.13,1.63,1.88,4.50,1.00,5.20,4.10,2.80,4.60,3.50,2.90,2.50,2.00,1.80,4.20,4.30,4.50,4.80,5.00,5.20,
National Association of Home Builders,1.64,2.24,2.67,2.93,,,0.38,0.88,1.63,1.88,,,6.90,3.00,3.50,3.70,3.20,3.90,3.70,3.00,3.00,,,3.70,3.40,3.30,3.40,,,
ABN AMRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannie Mae,1.60,1.67,1.73,1.77,,,0.63,0.88,1.38,1.63,,,6.80,3.40,3.30,3.10,2.70,6.00,4.00,3.10,2.80,,,3.60,3.40,3.50,3.60,,,
Comerica Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC Financial Services Group,2.10,2.26,2.33,2.39,2.39,2.39,0.63,1.13,1.63,1.88,1.88,1.88,4.30,4.00,4.00,3.00,2.60,5.10,2.80,2.50,2.20,2.10,2.30,3.70,3.50,3.50,3.60,3.70,3.60,
UCLA Anderson Forecast,1.95,2.30,2.45,2.60,2.70,2.80,0.63,1.13,1.63,1.88,2.13,2.38,6.90,2.60,4.50,4.60,2.40,4.60,3.40,3.10,2.80,2.30,2.10,3.50,3.40,3.40,3.50,3.60,3.70,
California Lutheran University,1.96,2.31,2.57,2.62,,,0.38,0.63,0.63,0.88,,,4.50,2.50,2.60,1.90,1.80,6.10,5.30,4.70,4.30,,,3.70,3.50,3.40,3.30,,,
Mortgage Bankers Association ,2.00,2.30,2.50,2.50,2.50,2.50,0.63,0.88,1.13,1.63,1.88,2.13,7.10,3.70,4.40,3.80,2.60,6.50,3.20,2.60,2.20,2.00,2.00,3.70,3.50,3.50,3.60,3.70,3.90,
Robert Fry Economics LLC,1.90,2.30,2.50,2.70,2.90,2.80,0.63,1.13,1.63,2.13,2.63,2.88,7.00,3.00,7.00,4.00,3.00,6.00,3.90,3.30,3.30,3.30,3.30,3.80,3.60,3.60,3.60,3.60,3.60,
Societe Generale,1.95,2.25,2.00,2.25,2.25,2.25,0.38,0.88,1.38,1.88,2.13,2.13,5.60,2.30,4.00,2.50,2.50,4.20,2.20,2.40,2.30,2.30,2.30,3.70,3.60,3.40,3.40,3.30,3.30,
"Goldman, Sachs & Co.",1.90,2.00,2.20,2.30,2.40,2.50,0.63,1.13,1.63,1.88,2.38,2.63,7.00,2.00,3.00,2.80,2.00,5.40,3.40,2.70,2.80,2.60,2.50,3.60,3.40,3.30,3.20,3.20,3.10,
Scotiabank,1.95,2.15,2.30,2.40,2.50,2.30,0.63,1.13,1.63,1.88,2.13,2.13,6.00,3.40,4.20,4.00,3.50,4.90,4.00,3.50,3.00,2.50,2.50,3.80,3.70,3.80,3.70,,,
KPMG,1.75,2.17,2.60,2.79,3.01,2.89,0.38,0.88,1.38,1.88,2.38,2.38,6.80,2.60,3.00,4.00,3.20,5.50,3.00,2.20,2.10,2.20,2.30,4.00,3.50,3.40,3.30,3.20,3.20,
National Retail Federation,2.00,2.15,2.20,2.25,,,0.63,0.88,1.13,1.38,,,5.70,3.50,3.80,3.30,2.50,5.60,3.10,2.50,2.50,,,3.70,3.50,3.50,3.50,,,
ING Financial Markets LLC,2.00,2.25,2.00,2.00,2.00,2.00,0.38,0.88,1.13,1.63,1.88,1.88,6.00,1.30,4.90,3.90,3.40,4.80,2.90,2.40,2.20,2.20,2.00,3.70,3.80,3.90,3.90,4.00,4.10,
Thru the Cycle,1.80,2.00,1.95,1.80,1.70,1.60,0.38,0.88,1.38,1.38,1.38,1.13,5.90,3.10,3.20,3.30,2.90,5.60,4.00,3.20,2.50,2.20,1.70,3.80,3.60,3.60,3.50,3.60,3.70,
The Conference Board,,,,,,,,,,,,,6.00,2.20,3.10,2.90,2.70,,,,,,,,,,,,,
"Research Seminar in Quantitative Economics, University of Michigan",1.91,2.11,2.29,2.54,2.71,2.84,0.63,0.88,1.13,1.38,1.63,1.88,5.80,2.70,3.80,3.70,2.70,5.10,3.10,2.70,2.70,2.70,2.70,3.70,3.50,3.50,3.50,3.50,3.50,
National Automobile Dealers Association,1.90,2.10,2.20,2.30,,,0.38,0.88,1.13,1.38,,,4.40,3.90,4.10,3.20,3.20,3.40,2.80,2.50,2.50,,,3.60,3.50,3.30,,,,
Rabobank,,,,,,,0.63,0.63,0.88,1.38,1.63,2.13,6.00,2.00,2.20,2.20,2.20,4.60,2.50,2.00,2.00,2.00,2.00,3.70,3.50,3.50,3.50,3.50,3.50,
Jefferies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetLife Investment Management,1.88,2.00,,1.75,,,0.38,0.63,,1.13,,,,,,,,,2.70,,2.40,,,,3.50,,,,,
ACT Research,1.70,2.10,2.30,2.50,2.75,2.80,0.38,0.88,1.38,1.88,2.13,2.13,3.80,3.60,3.70,3.20,3.20,4.00,3.20,2.50,2.30,2.20,2.20,4.00,4.00,3.80,3.70,3.70,3.70,
Bank of America Securities-Merrill Lynch,1.85,2.00,,,,,0.63,1.13,1.63,2.13,,,6.00,4.00,4.00,3.00,2.00,5.80,3.10,,,,,3.60,3.40,,,,,
Daiwa Capital Markets America,2.20,2.45,2.85,3.15,3.45,3.75,0.63,1.13,1.63,2.13,2.63,3.13,6.50,3.80,4.20,3.50,3.20,5.70,3.80,3.20,2.90,2.70,2.50,3.80,3.60,3.40,3.30,3.30,3.30,
National Association of Manufacturers,2.25,2.40,2.70,3.15,3.30,3.50,0.63,1.13,1.63,1.88,2.13,2.38,6.50,4.50,3.20,3.00,2.80,4.70,2.80,2.20,2.30,2.30,2.30,3.60,3.50,3.50,3.50,3.60,3.70,
Naroff Economics LLC,1.95,2.25,2.55,2.80,2.95,3.05,0.38,0.88,1.38,1.88,2.38,2.88,4.20,3.50,2.80,2.20,2.00,4.60,3.00,2.40,2.20,2.30,2.30,3.70,3.50,3.60,3.60,3.80,4.10,
MacroEcon Global Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreLogic,1.75,2.00,2.25,2.50,2.70,2.90,0.38,0.88,1.13,1.63,1.88,2.13,6.80,3.60,3.40,3.60,2.40,5.00,2.50,2.30,2.10,2.10,2.10,3.70,3.50,3.50,3.60,3.70,3.80,
TD Securities,1.80,2.00,2.15,2.25,,,0.13,0.88,1.13,1.63,,,6.00,2.00,4.00,2.00,2.00,4.90,2.30,2.30,2.70,,,3.70,3.50,3.40,3.40,,,
"Stifel, Nicoulas and Company, Inc.",1.65,1.75,1.85,,,,0.38,0.63,0.88,,,,3.20,1.80,2.30,2.50,2.80,,,,,,,4.20,3.90,4.20,,,,
BMO Capital Markets,1.85,2.05,2.20,2.40,2.40,2.45,0.63,1.13,1.63,2.13,2.13,2.13,5.50,1.50,4.50,3.50,2.50,4.90,2.90,2.70,2.40,2.30,2.20,3.60,3.40,3.40,3.40,3.50,3.50,
IHS Markit,1.76,2.18,2.40,2.56,2.73,2.86,0.38,0.88,1.38,1.63,1.88,2.13,6.80,3.60,3.40,3.60,2.40,4.20,2.10,2.10,2.00,2.10,2.10,3.70,3.50,3.60,3.80,3.80,3.90,
Ameriprise Financial,1.95,2.10,2.25,2.30,2.40,2.50,0.63,1.13,1.63,1.88,1.88,1.88,6.00,4.00,4.80,4.60,3.80,4.70,3.50,2.60,2.40,2.30,2.00,3.50,3.00,2.90,2.80,2.70,2.70,
Point Loma Nazarene University,1.90,2.20,2.50,2.75,3.00,3.00,0.63,0.88,1.13,1.38,1.63,1.88,6.80,3.20,3.70,3.40,3.10,4.80,3.10,2.50,2.40,2.30,2.20,3.80,3.50,3.40,3.40,3.50,3.50,
"St. Mary’s University College of Arts, Humanities and Social Sciences",1.70,1.50,1.30,1.20,1.20,1.20,0.32,0.50,0.75,1.00,1.00,1.00,2.30,2.20,2.40,2.40,2.40,2.50,2.30,2.00,1.90,1.70,1.70,3.80,3.60,3.50,3.80,3.90,4.00,
North Carolina A&T State University Willie A. Deese College of Business and Economics,2.03,2.30,2.42,2.41,1.95,2.05,0.38,1.00,1.00,1.00,1.00,1.00,3.30,2.70,2.50,2.40,2.30,4.20,2.20,1.90,1.60,1.40,1.50,4.10,3.90,3.70,3.60,3.50,3.40,
"Deutsche Bank Securities, Inc.",2.40,2.20,2.20,2.20,,,0.63,1.13,1.63,1.88,2.13,2.13,7.10,4.10,3.90,3.40,2.80,5.00,3.20,2.90,2.60,2.60,2.30,3.70,3.50,3.30,3.30,3.40,3.50,
Pantheon Macroeconomics,2.25,2.60,2.80,3.00,3.25,3.50,0.38,0.88,1.38,1.63,2.13,2.38,7.00,3.50,4.50,4.00,3.00,5.30,2.60,2.00,2.00,2.00,2.00,3.50,3.50,3.50,3.50,3.50,3.50,
Decision Economics Inc.,2.25,2.88,3.28,3.74,4.00,4.15,0.63,1.38,1.88,2.38,2.88,3.13,8.00,2.70,4.70,4.50,4.10,6.10,3.90,3.50,3.80,4.00,4.10,3.40,3.10,2.90,3.00,3.20,3.30,
EconForecaster LLC,1.65,1.77,1.96,2.23,2.54,2.75,0.38,0.63,0.88,1.13,1.38,1.63,7.00,3.90,3.60,3.40,3.20,4.30,3.30,2.60,2.10,1.90,1.80,3.50,3.20,3.00,2.80,2.70,2.50,
University of Central Florida,1.89,2.40,2.61,2.77,2.94,3.08,0.63,1.13,1.38,1.63,1.88,2.13,6.10,3.70,3.50,2.40,2.30,3.50,3.10,2.30,2.00,2.10,2.00,3.60,3.50,3.70,3.80,3.90,3.90,
SS Economics,1.90,2.10,2.30,2.50,2.70,2.90,0.63,1.13,1.63,2.13,2.63,3.13,7.00,3.50,3.60,3.30,3.00,5.70,4.50,4.00,3.50,3.50,3.00,3.50,3.40,3.30,3.20,3.20,3.20,
Amherst Pierpont Securities,2.40,3.00,3.30,3.50,3.65,3.75,0.63,1.13,1.63,2.13,2.63,2.88,5.90,4.60,5.10,3.70,3.40,5.60,3.80,3.20,3.00,2.80,2.60,3.50,3.20,3.00,2.90,2.80,2.70,
Economic Analysis Associates Inc.,1.80,2.10,2.40,2.20,2.30,2.00,0.35,1.15,1.35,1.75,1.75,2.00,3.10,2.60,3.20,2.30,3.40,5.30,3.00,2.70,2.50,2.40,3.00,3.50,3.20,2.90,2.50,3.00,3.30,
JPMorgan,2.05,2.30,,,,,0.88,1.38,1.88,2.38,,,7.00,1.50,4.00,3.50,2.50,5.20,2.70,2.40,2.40,,,3.60,3.30,3.30,3.20,,,
Independent Commodity Intelligence Services,1.94,2.38,2.57,2.75,3.00,3.25,0.38,0.88,1.38,1.63,1.88,2.38,5.50,3.50,4.30,3.80,3.30,6.50,4.30,3.00,2.80,2.50,2.50,3.80,3.50,3.50,3.50,3.50,3.50,
Grant Thornton,2.00,2.30,2.60,2.80,3.10,3.20,0.38,0.88,1.38,2.13,2.38,2.38,6.80,1.50,4.00,3.20,2.10,4.60,2.00,2.00,2.00,2.00,2.00,3.40,3.30,3.40,3.50,3.70,3.90,
Northern Trust,1.90,2.25,2.40,2.50,2.50,2.50,0.63,0.88,1.38,1.38,1.38,1.38,7.00,4.10,3.70,3.40,2.60,5.00,2.70,2.20,2.10,2.00,2.00,3.70,3.50,3.50,3.50,3.50,3.50,
UC Riverside School of Business Center for Economic Forecasting and Development,2.14,3.17,4.07,3.91,4.85,5.32,0.63,1.13,1.88,2.38,2.63,2.63,7.80,3.90,3.70,3.20,2.50,6.10,5.00,4.70,5.00,4.90,4.10,3.80,3.70,3.60,3.70,3.90,3.90,
Wilmington Trust Investment Advisors,,2.00,,,,,,0.63,,,,,6.00,,,,,,3.00,,,,,,,,,,,
Credit Agricole CIB,1.75,1.35,1.50,1.65,,,0.38,0.88,1.13,1.38,,,5.70,3.80,3.40,2.50,2.30,4.60,2.10,2.20,2.30,,,3.80,3.70,3.60,3.50,,,
Eaton Corp.,1.70,1.80,2.00,2.20,2.30,2.30,0.63,1.13,1.38,1.63,1.88,1.88,6.00,2.10,3.50,3.60,2.90,5.50,3.00,2.40,2.70,2.60,2.50,3.50,3.20,3.20,3.20,3.30,3.40,
National Association of Realtors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Stanley,1.90,2.10,,,,,0.13,0.63,0.88,1.13,,,7.00,3.70,5.30,4.90,4.60,4.60,2.60,2.50,2.20,,,3.80,3.40,3.40,3.20,,,
