,t10y,t10y,t10y,t10y,t10y,t10y,ffr,ffr,ffr,ffr,ffr,ffr,gdp,gdp,gdp,gdp,gdp,gdp,cpi,cpi,cpi,cpi,cpi,cpi,unemp,unemp,unemp,unemp,unemp,unemp,recess
Georgia State University,1.98,2.34,2.44,2.56,3.01,3.12,0.125,0.125,0.125,0.125,0.125,0.125,6.5,8,3.3,3,4.8,5.2,2.4,3.1,2.5,2.4,2.4,2.3,6,5.5,4.8,4.4,4.3,4.1,
National Association of Home Builders,1.7,2.04,2.16,2.33,2.44,2.54,0.125,0.125,0.125,0.125,,,5.2,7.3,7.6,5.3,4.8,3,2.1,1.7,1.3,2,2,2.2,5.6,4.5,4,3.6,3.4,3.4,
ABN AMRO,1.5,1.5,1.5,1.5,,,0.125,0.125,0.125,0.125,0.125,0.375,5.6,8.6,4.2,5.2,3.9,3.2,2.9,2.4,1.8,1.9,2,2.1,6.1,5.5,4.7,4,3.4,2.9,
Fannie Mae,1.8,1.9,2.1,2.2,,,0.125,0.125,0.125,0.125,,,5.5,8.8,7.8,4.9,4,2.9,3.1,2.3,1.8,2,,,5.6,4.5,4,3.8,,,
Comerica Bank,1.89,2,2.07,2.23,2.66,2.62,0.125,0.125,0.125,0.375,0.625,0.625,6.9,6.2,6,5.1,3.9,3.3,3.3,3.5,3.5,2.8,2.2,2,5.7,5.3,5.1,4.9,4.8,4.8,
PNC Financial Services Group,1.6,1.7,1.74,1.79,1.82,1.92,0.07,0.07,0.07,0.09,0.12,0.25,3,6.6,7.5,4.5,2.6,2.6,2.6,2.3,2.5,2.6,2.5,2.4,5.8,4.9,4.4,4.1,4,3.9,
UCLA Anderson Forecast,1.85,1.95,2.1,2.2,2.25,2.3,0.125,0.125,0.125,0.125,0.375,0.375,5.5,11.8,9.5,4.9,3.7,3.6,2.7,2.1,2,2,2,2,5.1,4.5,4,3.7,3.5,3.4,
California Lutheran University,1.72,1.8,2.02,2.2,,,0.125,0.125,0.125,0.125,0.125,0.125,2.9,5.4,3.3,3.1,2.6,2.3,1.3,1.8,2,2.2,2.3,,5.7,5.3,5.2,5,4.9,,
Mortgage Bankers Association ,1.8,2,2.3,2.7,3,3.2,0.125,0.125,0.125,0.125,0.375,0.625,5.2,7.4,6.9,5.8,3.8,3.4,3,2.2,2.2,2.5,2.3,2.4,5.8,4.5,4.2,4.1,4,4,
Robert Fry Economics LLC,1.8,2,2.3,2.7,3.1,3.3,0.125,0.125,0.125,0.125,0.625,1.625,6,10,8,6,3,2,3.2,2.8,2.6,2.8,3,3.1,5.4,4.2,3.9,3.7,3.6,3.6,
Societe Generale,1.6,2,2.2,2.5,2.7,3,0.125,0.125,0.125,0.125,0.125,0.625,5.9,6,4.3,3.8,2.6,2.6,2.9,2.1,1.9,2,2.1,2.1,5.3,4.8,4.3,4,3.8,3.8,
"Goldman, Sachs & Co.",1.8,1.9,2,2.1,2.2,2.3,0.125,0.125,0.125,0.125,0.125,0.125,7.5,10.5,7.5,6.5,5,3,3.2,2.6,2,2,2.1,2.3,5.1,4,3.6,3.5,3.3,3.2,
Scotiabank,1.7,2,2.1,2.2,2.4,2.55,0.125,0.125,0.125,0.125,0.375,0.625,4.5,7.8,9.9,6.9,3.5,1.7,1.9,2.3,2.5,2.7,2.5,2.4,5.8,4.8,3.7,3.2,3,3,
KPMG,1.95,1.85,2.28,2.6,2.57,2.96,0.125,0.125,0.125,0.125,0.125,0.375,5.9,8.9,7.6,6.6,5,2.7,3.6,2.9,2.2,2.4,2.4,2.1,4.9,4,3.2,2.8,2.8,2.6,
ACT Research,1.95,2.2,2.25,2.4,2.75,2.95,0.125,0.125,0.125,0.375,0.375,0.875,6.4,7.1,7,5.3,4,3,3.4,3,2.4,2.5,3.3,3.5,5.3,5.1,4.8,4.5,4.8,4.4,
BBVA,1.7,1.8,1.9,2,2.1,2.3,0.125,0.125,0.125,0.125,0.375,0.625,5.8,9.3,6.2,4,5.1,5.2,3.1,2.5,2.3,2.1,2.4,2.5,5.6,4.8,4.4,4,3.7,3.5,
National Retail Federation,1.75,1.95,2.1,2.2,,,0.125,1.25,0.125,0.375,,,4.5,8.3,8.3,5.2,,,3,2.2,2.5,2,,,5.6,4.8,4.5,4.2,,,
ING Financial Markets LLC,2,2.25,2.5,2.75,3,3,0.125,0.125,0.125,0.125,0.375,0.625,6.4,11.1,6.5,5.5,3.6,3.1,3.7,3.4,2.9,2.8,2.5,2.2,5.5,4.8,4.3,4,3.9,3.9,
Moody's Capital Markets Research Group,1.8,2,2.2,2.2,2.1,2.1,0.125,0.125,0.125,0.125,0.125,0.125,4.3,8,6.1,4.4,3.4,3.3,3.3,2.9,2.4,2.2,2.1,1.9,5.5,4.5,3.7,3.5,3.5,3.4,
The Conference Board,,,,,,,0.125,0.125,,,,,3,8.5,6.9,4.8,,,,,,,,,5.9,5,,,,,
National Automobile Dealers Association,1.75,1.9,2.1,2.3,,,0.125,0.125,0.125,0.125,0.375,0.375,6,7.2,7.8,5,,,2.5,2.2,2.1,2.1,,,5.7,5.4,4.9,4.5,,,
Rabobank,,,,,,,0.125,0.125,0.125,0.125,0.125,0.375,4.5,7,7,4.5,3,3,3.8,2.7,2,2,2,2,5.8,4.9,4.3,3.8,3.5,3.5,
Jefferies,1.7,2,2.3,2.4,2.55,2.6,0.125,0.125,0.125,0.125,0.625,1.125,9.6,9,4.4,4.8,5.2,5.5,3.5,2.8,1.9,2.2,2.3,2.4,4.9,4.3,3.6,3,3,3,
MetLife Investment Management,,1.75,,2.25,,,0.125,0.125,0.125,0.125,,,,,,,,,3,2,,2,,,6,6,,5,,,
Bank of America Securities-Merrill Lynch,1.85,2.15,,,,,0.125,0.125,0.125,0.125,,,7,10,9,5,5,4.5,3.6,3,2.3,2.2,,,5.2,4.2,3.8,3.5,,,
Daiwa Capital Markets America,1.75,2,2.25,2.5,2.7,3,0.125,0.125,0.125,0.375,0.625,0.875,5.4,7.3,6.6,5.7,4.5,3.7,3.2,2.7,2.5,2.6,2.7,2.7,5.6,4.7,4.2,4,3.9,3.8,
National Association of Manufacturers,1.75,2.01,2.23,2.33,2.68,3.05,0.125,0.125,0.375,0.875,1.375,1.625,7,8.5,7.5,5,4.5,3,3.2,2.7,2.6,2.5,2.6,2.5,5.7,4.8,4.3,4,4,3.8,
Naroff Economics LLC,1.82,1.98,2.22,2.49,2.75,3.02,0.125,0.125,0.125,0.125,0.125,0.125,4.8,6.2,5.1,4.3,3.3,2.5,3.7,3.1,2.1,1.9,2.2,2.3,5.6,5.2,4.9,4.7,4.5,4.3,
MacroEcon Global Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreLogic,1.7,1.85,1.93,2,2.05,2.1,0.125,0.125,0.125,0.125,0.375,0.375,5.3,7.9,8.1,5.3,3.8,2.5,3,2,1.7,1.8,1.9,2,5.2,4.2,3.8,3.6,3.5,3.5,
TD Securities,1.8,2,2.2,2.4,,,0.125,0.125,0.125,0.125,0.125,0.125,4,5,7.5,6,3,3,3.2,2.2,2,2.1,,,5.6,4.8,4.6,4.5,,,
"Stifel, Nicoulas and Company, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMO Capital Markets,1.71,1.75,1.88,2,2.06,2.13,0.125,0.125,0.125,0.125,0.125,0.125,5,10,8.3,4.7,3.8,3.1,3.1,2.5,2.2,2.1,2.2,2.3,5.4,4.5,4.1,3.8,3.6,3.5,
IHS Markit,1.71,1.84,1.92,1.99,2.01,2.07,0.125,0.125,0.125,0.125,0.125,0.125,5.3,7.9,8.1,5.3,3.8,2.5,2.9,2,1.4,1.5,1.8,2,5.1,4.3,3.8,3.6,3.5,3.5,
Ameriprise Financial,2,2,2.2,2.2,2.3,2.3,0.125,0.125,0.375,0.625,0.625,0.625,6,11,6,4.5,3,3.8,3.7,3.2,2.4,2.2,2.2,2,5.3,4.8,4.3,3.7,3.4,3.4,
Point Loma Nazarene University,1.85,2,2.5,2.75,2.85,3,0.125,0.125,0.125,0.375,0.625,0.875,5.2,7.8,7.8,6.5,4.1,4.5,3.2,2.7,2.5,2.4,2.5,2.4,5.2,4.4,4,3.6,3.5,3.5,
"St. Mary’s University College of Arts, Humanities and Social Sciences",1.25,1.22,1.12,0.94,1.04,0.95,0.125,0.125,0.125,0.125,0.125,0.125,6,5,3.5,2.5,2,2.5,2,2.5,2.5,3,3,3,5.9,5.7,5.8,6,6.1,5.9,
North Carolina A&T State University Willie A. Deese College of Business and Economics,1.65,1.47,1.3,1.15,1.01,0.88,0.125,0.95,1.2,1.2,1.2,1.2,7.1,3.5,3.2,2.5,2.4,2.2,1.8,1.7,1.6,1.6,1.7,1.7,5.5,5,4.8,4.7,4.6,4.5,
"Deutsche Bank Securities, Inc.",1.8,2.25,,,,,0.125,0.125,0.125,0.125,0.125,0.125,6.5,9,8.2,6.7,3.7,2.9,3.3,2.6,2.1,2.2,2.3,2.3,5.4,4.2,3.8,3.6,3.5,3.4,
Pantheon Macroeconomics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision Economics Inc.,2,2.87,3.03,3.23,3.35,3.5,0.125,0.125,0.125,0.37,0.37,0.62,6.9,4.7,5.2,6.3,5.3,4.7,2.5,2.3,2,2.2,2.3,2.5,5.7,5.4,5.1,4.9,4.7,4.4,
EconForecaster LLC,1.31,1.53,1.71,1.82,1.83,2.05,0.125,0.625,0.875,1.125,1.375,1.625,5.6,4.7,6.4,4.2,4.8,3.6,2.5,2.6,2.2,2,1.8,1.7,5.8,5.5,5.2,4.9,4.6,4.3,
University of Central Florida,1.75,1.8,1.99,2.09,2.22,2.29,0.125,0.125,0.125,0.125,0.125,0.125,5.1,6.1,5.7,5,3.7,3.1,3.1,2.7,2.9,2.5,2.3,2.2,4.9,3.8,3.6,3.6,3.7,3.7,
SS Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst Pierpont Securities,1.9,2.25,2.6,2.9,3.2,3.5,0.125,0.125,0.625,1.125,1.375,1.875,5.8,14,7.5,4.4,3.5,3.5,3.5,3.2,2.8,2.8,2.7,2.7,5.4,4.1,3.7,3.5,3.3,3.2,
Economic Analysis Associates Inc.,1.6,1.55,1.8,2,2.25,2,0.13,0.13,0.35,0.65,0.65,0.8,2,4.8,5.1,3.5,2.9,2.6,2.8,3.1,3,2.8,2.6,2.5,5.8,5.4,4.9,4.7,4.3,3.9,
JPMorgan,1.75,1.85,1.95,2.05,,,0.125,0.125,0.125,0.125,,,5,9.5,8.3,3,3.5,3,3.7,2.9,2.1,2.2,,,5.5,4.5,3.8,3.6,,,
Credit Suisse,1.8,,2,,,,0.125,0.125,0.125,0.125,0.125,0.625,4.6,7.5,12.4,5.9,,,3.3,2.8,,,,,5.8,4.8,,,,,
American Chemistry Council,1.85,2.05,2.15,2.2,2.35,2.5,0.125,0.125,0.125,0.125,0.125,0.125,6,7.8,7.3,5.5,4,3.3,3.8,3.3,3,2.8,3,3.3,5.5,5,4.5,4.3,4,3.8,
Grant Thornton,1.8,2,2.1,2.1,2.2,2.2,0.125,0.125,0.125,0.125,0.125,0.375,5.6,9.5,8.5,5.1,3.8,2,3.2,2.3,1.7,1.7,2,2.1,5.3,4.4,4.1,3.6,3.5,3.3,
Northern Trust,1.65,1.8,1.8,1.8,1.8,1.8,0.125,0.125,0.125,0.125,0.125,0.125,6.8,9,9.3,5.9,3.3,3,3.1,2.4,2,1.9,2,2,5.7,5,4.8,4.4,4.2,4,
UC Riverside School of Business Center for Economic Forecasting and Development,2.04,2.4,2.59,2.82,2.96,3.08,0.125,0.125,0.6,1.206,1.548,1.581,6.8,12.7,9.7,8.6,6,4.7,3.5,3.1,2.4,2.4,2.9,3,5.7,4.7,3.8,3.6,3.5,3.6,
Wilmington Trust Investment Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Agricole CIB,1.85,1.75,1.95,2.15,,,0.125,0.125,0.125,0.125,,,4.1,5.6,6.6,4.5,3.4,3.1,3.3,2.7,2.1,2.1,,,5.7,5.2,4.8,4.5,,,
Eaton Corp.,2,2.25,2.5,2.5,2.5,2.5,0.125,0.125,0.125,0.125,0.625,1.375,5,8.5,6.5,4.8,4.3,4,3.3,2.8,2.5,2.4,2.4,2.4,5.8,4.8,4.2,4,3.9,3.8,
HSBC Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Trust Advisors LP,1.75,1.85,2,2.2,,,0.125,0.125,0.125,0.125,,,6,10,5,3,2.5,2.5,3,2.7,3.1,3.5,,,5.6,4.7,3.8,3.5,,,
Wrightside Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of Realtors,1.8,1.9,2.1,2.2,2.5,2.5,0.125,0.125,0.125,0.125,0.675,1,4.5,4,4,4,3,2.5,2.2,2.9,3.3,3.5,3.5,3.4,5.9,5.8,5.7,5.7,5.7,5.6,
Morgan Stanley,1.7,1.7,1.9,2.1,,,0.125,0.125,0.125,0.125,,,9.9,4.8,12.7,5.4,3,3.2,2.5,1.7,2.5,2.7,,,5.3,4.9,4.4,3.9,,,
WSJ Consensus,1.77,1.93,2.09,2.22,2.39,2.5,0.124,0.16,0.18,0.252,0.403,0.607,5.59,8.15,6.92,5.09,3.82,3.21,3.01,2.58,2.27,2.27,2.34,2.34,5.58,4.83,4.37,4.1,3.95,3.8,
